Dimension 1,Dimension 2,Dataset
0.10462137,0.25551444,Anomaly
0.441387,0.17986315,Anomaly
0.766197,0.4926279,Anomaly
0.9666346,0.27092016,Anomaly
0.9466304,0.6199618,Anomaly
0.6628781,0.6697606,Anomaly
0.9995057,0.3865717,Anomaly
0.9155492,0.66447437,Anomaly
0.85437346,0.28170794,Anomaly
0.8441641,0.6730855,Anomaly
0.92301506,0.42238817,Anomaly
0.97885317,0.3466463,Anomaly
0.5366313,0.13361092,Anomaly
0.9594448,0.44737533,Anomaly
0.9502149,0.30386052,Anomaly
0.8543082,0.56319743,Anomaly
0.86034316,0.52822876,Anomaly
0.9388983,0.45080775,Anomaly
0.98007935,0.24838647,Anomaly
0.7772889,0.8569834,Anomaly
0.5593291,0.17854698,Anomaly
0.09317412,0.14491633,Anomaly
0.8275046,0.23095721,Anomaly
0.4985226,0.93692106,Anomaly
0.82798886,0.9404908,Anomaly
0.81628567,0.87992036,Anomaly
0.7916661,0.48067212,Anomaly
0.74928844,0.68542314,Anomaly
0.9332939,0.64512366,Anomaly
0.94693017,0.22196947,Anomaly
1.0,0.41420406,Anomaly
0.8016796,0.035180967,Anomaly
0.7830493,0.5122848,Anomaly
0.9208833,0.50826854,Anomaly
0.45383573,0.27220452,Anomaly
0.47471648,0.105161,Anomaly
0.42420498,0.31348377,Anomaly
0.41835725,0.20025311,Anomaly
0.09419402,0.331484,Anomaly
0.4404746,0.117517516,Anomaly
0.45316947,0.084031194,Anomaly
0.6378108,0.026538536,Anomaly
0.006672508,0.642625,Arch
0.017906575,0.6382302,Arch
0.1423799,0.4732057,Arch
0.05813312,0.4793429,Arch
0.07221347,0.54074365,Arch
0.13232729,0.46738058,Arch
0.092582434,0.52902544,Arch
0.0,0.6315005,Arch
0.48336416,0.014585476,Arch
0.46750623,0.044890862,Arch
0.48152056,0.049781848,Arch
0.52445203,0.017103931,Arch
0.47665274,0.019402444,Arch
0.50579953,0.052793574,Arch
0.47488567,0.06131904,Arch
0.50103676,0.0,Arch
0.45975345,0.04081052,Arch
0.51392406,0.021431496,Arch
0.50997144,0.008964916,Arch
0.45208943,0.049208794,Arch
0.5118922,0.058206476,Arch
0.49867824,0.008603316,Arch
0.49682122,0.061333865,Arch
0.50352967,0.02958068,Arch
0.052931115,0.5127975,Arch
0.090407446,0.58412397,Arch
0.13084196,0.4774762,Arch
0.08680009,0.5378046,Arch
0.036288396,0.62904257,Arch
0.11937871,0.5209225,Arch
0.11287185,0.5853778,Arch
0.121562056,0.4620312,Arch
0.9529895,0.43614158,Arch
0.9737587,0.5336602,Arch
0.9792981,0.5435305,Arch
0.8972863,0.5188351,Arch
0.9381029,0.4384582,Arch
0.9284837,0.44087005,Arch
0.9218231,0.4678937,Arch
0.9392945,0.47900712,Arch
0.07830128,0.62129754,Arch
0.087437384,0.48393306,Arch
0.08656163,0.61359996,Arch
0.119031765,0.5676007,Arch
0.09348099,0.5207249,Arch
0.08892077,0.51363236,Arch
0.030630497,0.6201874,Arch
0.07577209,0.48242265,Arch
0.104873575,0.4666471,Arch
0.1175341,0.47254172,Arch
0.026503006,0.6302513,Arch
0.15101337,0.4802732,Arch
0.11103847,0.6019352,Arch
0.06316404,0.48945066,Arch
0.14519627,0.5851539,Arch
0.014109431,0.62596077,Arch
0.09844953,0.5388622,Arch
0.14189456,0.4584173,Arch
0.2019635,0.49874672,Arch
0.20066585,0.5078106,Arch
0.078444205,0.46907383,Arch
0.082477316,0.59024465,Arch
0.11114273,0.5764179,Arch
0.104438804,0.623873,Arch
0.20602368,0.4938081,Arch
0.10880226,0.52097845,Arch
0.031352468,0.63779014,Arch
0.09391795,0.6214565,Arch
0.112831585,0.45413104,Arch
0.19666806,0.5897234,Arch
0.09208867,0.6314461,Arch
0.10038066,0.5025635,Arch
0.16312242,0.5870132,Arch
0.049783677,0.5060125,Arch
0.09936702,0.49137318,Arch
0.12531768,0.60402745,Arch
0.12531768,0.60402745,Arch
0.10259522,0.6148644,Arch
0.09304874,0.46924388,Arch
0.10118636,0.57897234,Arch
0.5289656,0.9554405,Arch
0.5762771,0.9616375,Arch
0.54443926,0.9695212,Arch
0.59864676,1.0,Arch
0.52816254,0.9735807,Arch
0.5553121,0.9666426,Arch
0.5975893,0.9804394,Arch
0.5835809,0.9804261,Arch
0.5371212,0.9449085,Arch
0.6085699,0.9969339,Arch
0.5483848,0.9762543,Arch
0.54069704,0.9525763,Arch
0.5874632,0.9655477,Arch
0.5793248,0.9914786,Arch
0.6078901,0.98264825,Arch
0.5385537,0.96173286,Arch
0.56708246,0.053534605,Arch
0.59302115,0.04148051,Arch
0.44372675,0.09989217,Arch
0.55420965,0.038781326,Arch
0.58909476,0.03585805,Arch
0.47712415,0.09587174,Arch
0.49215648,0.08887378,Arch
0.4455499,0.1069432,Arch
0.51522315,0.03327532,Arch
0.49733558,0.09908926,Arch
0.5780736,0.04826157,Arch
0.4532479,0.08606445,Arch
0.494972,0.110294215,Arch
0.49588865,0.049325712,Arch
0.45977035,0.102026895,Arch
0.48601747,0.10472941,Arch
0.9875101,0.4635609,Arch
0.9459951,0.45075253,Arch
0.9206768,0.53475726,Arch
0.9451008,0.507529,Arch
0.940435,0.48747218,Arch
0.9515407,0.5355642,Arch
0.90995514,0.48488158,Arch
0.95068353,0.48629525,Arch
0.45649737,0.07681027,Arch
0.4540478,0.09306252,Arch
0.55647814,0.04823905,Arch
0.4365208,0.083008505,Arch
0.547182,0.04463794,Arch
0.46667853,0.11374041,Arch
0.55346644,0.05585321,Arch
0.4806111,0.089348935,Arch
0.9022835,0.47884354,Arch
0.9558088,0.50484014,Arch
0.97334623,0.5256974,Arch
1.0,0.49642232,Arch
0.9167595,0.47552752,Arch
0.96608514,0.46740967,Arch
0.89622086,0.46897206,Arch
0.9177351,0.4924169,Arch
0.9034888,0.4932354,Arch
0.89003843,0.5098326,Arch
0.94644004,0.46264768,Arch
0.98620206,0.527222,Arch
0.9046597,0.51122206,Arch
0.99849033,0.5108252,Arch
0.9527094,0.45541677,Arch
0.9686342,0.45220494,Arch
0.25226635,0.50260645,Arch
0.18478923,0.5710992,Arch
0.226367,0.5057692,Arch
0.15288049,0.5958782,Arch
0.1778273,0.5501715,Arch
0.24947569,0.48982808,Arch
0.21078296,0.54742104,Arch
0.23339738,0.5298651,Arch
0.16868658,0.55861396,Arch
0.2241731,0.53235275,Arch
0.26475582,0.502634,Arch
0.25564596,0.51096547,Arch
0.19034997,0.5610589,Arch
0.22948955,0.5210911,Arch
0.24264582,0.5072585,Arch
0.17632118,0.5849011,Arch
0.5944317,0.95055073,Arch
0.5545705,0.95336,Arch
0.5793914,0.9345685,Arch
0.5920975,0.99093163,Arch
0.57656294,0.95311004,Arch
0.6084723,0.9627092,Arch
0.5890436,0.94089544,Arch
0.5793914,0.9345685,Arch
0.1889787,0.5813613,Arch
0.18002371,0.5605772,Arch
0.26400688,0.49219772,Arch
0.29362682,0.5079947,Arch
0.24929672,0.5370436,Arch
0.2899474,0.5010893,Arch
0.2908094,0.51403266,Arch
0.2752526,0.51596695,Arch
0.9806015,0.51799834,Arch
0.95715743,0.5140916,Arch
0.9833488,0.46926823,Arch
0.91470027,0.5202847,Arch
0.90884435,0.5297587,Arch
0.98294157,0.49154246,Arch
0.9986342,0.52660495,Arch
0.92206925,0.5242838,Arch
0.07312538,0.6059029,Health
0.094602585,0.56662583,Health
0.120667815,0.4896281,Health
0.13822545,0.46400303,Health
0.12152604,0.49638772,Health
0.0,0.6682604,Health
0.005474859,0.660734,Health
0.011027271,0.6701384,Health
0.8753463,0.4986689,Health
0.9097766,0.5230829,Health
0.9455969,0.5207858,Health
0.95454407,0.50490224,Health
0.9374502,0.5173595,Health
0.8927728,0.50786555,Health
0.8817656,0.5061418,Health
0.9837309,0.48203337,Health
0.9576476,0.5185846,Health
0.9785981,0.4926849,Health
0.88464797,0.48608544,Health
0.94660795,0.50909275,Health
0.8633539,0.5031475,Health
0.86556363,0.51067525,Health
0.8885362,0.5242635,Health
0.881353,0.5159172,Health
0.03406323,0.6709935,Health
0.09332391,0.59637696,Health
0.15040825,0.4603637,Health
0.13245228,0.44935283,Health
0.013689917,0.651043,Health
0.103169784,0.641593,Health
0.088954166,0.61134875,Health
0.059204016,0.6504281,Health
0.96862906,0.94165766,Health
0.9004305,0.9927532,Health
0.9648246,0.9322815,Health
0.94342095,0.9294036,Health
0.8907247,0.9877557,Health
0.88177484,0.97152424,Health
0.8944262,1.0,Health
0.89064634,0.96573794,Health
0.05496077,0.6851167,Health
0.1579327,0.49522328,Health
0.14273196,0.4536657,Health
0.10361661,0.5828961,Health
0.06072048,0.66131413,Health
0.022260573,0.6491022,Health
0.0883098,0.6241521,Health
0.15022744,0.50945514,Health
0.0069550886,0.6375949,Health
0.11535442,0.5784091,Health
0.105552405,0.56831515,Health
0.100258924,0.64889574,Health
0.14301032,0.5388911,Health
0.07498616,0.69509727,Health
0.103915796,0.6598548,Health
0.135064,0.51495034,Health
0.13708869,0.52578574,Health
0.13476177,0.6151424,Health
0.07332261,0.6566772,Health
0.02200428,0.68415874,Health
0.13728333,0.5870601,Health
0.11535594,0.64395314,Health
0.14798234,0.52036893,Health
0.12581778,0.51203686,Health
0.145901,0.4687011,Health
0.07509989,0.6306689,Health
0.08761446,0.6337497,Health
0.14723161,0.58267576,Health
0.1429788,0.6046278,Health
0.17186646,0.51079684,Health
0.041297685,0.6754855,Health
0.08200437,0.66620934,Health
0.10802446,0.6222687,Health
0.08476952,0.64850324,Health
0.09950606,0.6157817,Health
0.16441175,0.50115806,Health
0.14609051,0.4998817,Health
0.06941606,0.6864117,Health
0.085875444,0.67963463,Health
0.15156542,0.5394609,Health
0.54909927,0.03792143,Health
0.5652024,0.01717409,Health
0.53270435,0.060851064,Health
0.4922066,0.037882764,Health
0.5547543,0.051779028,Health
0.54103094,0.048059784,Health
0.4874853,0.047008332,Health
0.47613686,0.044733834,Health
0.48616967,0.032105573,Health
0.53724337,0.04017138,Health
0.5483357,0.058555804,Health
0.5374482,0.06951991,Health
0.51396793,0.06875152,Health
0.53059286,0.052476197,Health
0.50969785,0.030619608,Health
0.5001219,0.02638359,Health
0.958054,0.47961512,Health
0.8869861,0.4695654,Health
0.9782579,0.4725003,Health
0.8780122,0.4521729,Health
0.8986773,0.4312518,Health
0.96962494,0.46029508,Health
0.9466123,0.4502119,Health
0.9398426,0.41368967,Health
0.9107662,0.44070143,Health
0.9101358,0.41989085,Health
0.9382232,0.44075087,Health
0.95899904,0.45763785,Health
0.93228126,0.41332975,Health
0.9556686,0.46770674,Health
0.95252085,0.4133651,Health
0.92891014,0.44428697,Health
0.9021652,0.9680231,Health
0.9997837,0.9460463,Health
0.9241601,0.89216465,Health
0.9208864,0.8824876,Health
0.92651117,0.90506995,Health
0.91468006,0.95565313,Health
0.95505875,0.89981437,Health
0.89913386,0.9794002,Health
0.8913185,0.42654985,Health
0.96611345,0.4731177,Health
0.9023243,0.46600154,Health
0.89174277,0.4815164,Health
0.91298467,0.43225172,Health
0.88861775,0.44706026,Health
0.90919214,0.45025378,Health
0.93604416,0.45183805,Health
0.8733164,0.8905793,Health
0.9524171,0.95160234,Health
1.0,0.9515249,Health
0.88746166,0.8971363,Health
0.9773285,0.51143074,Health
0.9081107,0.9436854,Health
0.9051252,0.95444775,Health
0.926731,0.9266073,Health
0.9589282,0.9686347,Health
0.91243804,0.89447963,Health
0.9610195,0.9585078,Health
0.9093434,0.9127041,Health
0.8598389,0.88400877,Health
0.94948244,0.96704036,Health
0.91896945,0.9176134,Health
0.93483245,0.9205651,Health
0.1561886,0.5731012,Health
0.1791461,0.6249115,Health
0.16939993,0.6131018,Health
0.17587115,0.69328254,Health
0.15827926,0.69907135,Health
0.13280721,0.57634664,Health
0.12470035,0.7025763,Health
0.15294355,0.61687094,Health
0.15385778,0.691357,Health
0.10314793,0.55719817,Health
0.19349512,0.6677776,Health
0.18772759,0.6889383,Health
0.14335692,0.55288845,Health
0.13454054,0.7019618,Health
0.20676373,0.6613109,Health
0.1441263,0.70383215,Health
0.5574439,0.009003415,Health
0.4995564,0.008981861,Health
0.5481659,0.021660753,Health
0.5513871,0.0,Health
0.54419595,0.014284637,Health
0.54139555,0.0060428777,Health
0.50789857,0.0138092125,Health
0.5145695,0.021385344,Health
0.18270437,0.65731007,Health
0.17531334,0.7002467,Health
0.16261677,0.7190619,Health
0.18216892,0.6371552,Health
0.17609665,0.6497797,Health
0.16925292,0.6644392,Health
0.16925292,0.6644392,Health
0.16991095,0.7123599,Health
0.8682783,0.89881134,Health
0.8988575,0.88251346,Health
0.93838257,0.90396804,Health
0.9201371,0.9334241,Health
0.87701195,0.87839544,Health
0.89970845,0.89724386,Health
0.90379846,0.9206835,Health
0.93573457,0.9469897,Health
0.25957698,0.46996126,H3
0.045876466,0.478335,H3
0.011122043,0.5035917,H3
0.23502633,0.5305064,H3
0.20821056,0.4621631,H3
0.02878386,0.47889405,H3
0.23820417,0.4939896,H3
0.2472499,0.50648916,H3
0.5635714,0.0116220685,H3
0.46309814,0.0,H3
0.56147355,0.039929684,H3
0.56367403,0.04950425,H3
0.43282238,0.028463451,H3
0.5019889,0.044568073,H3
0.45938838,0.01705238,H3
0.43367782,0.016749872,H3
0.47402883,0.024458388,H3
0.5603985,0.029402522,H3
0.42205572,0.03969192,H3
0.44213215,0.018298542,H3
0.5752661,0.02562004,H3
0.5483261,0.03845054,H3
0.531675,0.03217686,H3
0.42502004,0.028998718,H3
0.22883165,0.5354881,H3
0.25183764,0.46076384,H3
0.018188767,0.49919719,H3
0.009562585,0.5141534,H3
0.052989576,0.4902067,H3
0.057229653,0.50383866,H3
0.20420423,0.43037814,H3
0.28237763,0.47758794,H3
0.92731315,0.5047391,H3
0.93573016,0.37140357,H3
0.96480465,0.3777046,H3
0.93783647,0.5024931,H3
0.94573766,0.4177177,H3
0.9568214,0.44666442,H3
0.961861,0.3717019,H3
0.9418639,0.49444783,H3
0.07389543,0.45064908,H3
0.20834257,0.5153404,H3
0.18027799,0.39303437,H3
0.19796734,0.42605907,H3
0.05080169,0.47019625,H3
0.043824866,0.5172211,H3
0.19112684,0.44846648,H3
0.23504776,0.5220588,H3
0.14896987,0.40358615,H3
0.024475519,0.46631718,H3
0.28094319,0.49003598,H3
0.025650868,0.52090436,H3
0.27163646,0.48830023,H3
0.20859672,0.45291543,H3
0.2542759,0.4832011,H3
0.024505785,0.50861907,H3
0.26527467,0.47892323,H3
0.014477964,0.49022862,H3
0.06970334,0.47148123,H3
0.27719358,0.46860957,H3
0.042719826,0.4656809,H3
0.06819984,0.4862621,H3
0.19880788,0.47293043,H3
0.12557754,0.50772655,H3
0.09000164,0.43769616,H3
0.064088844,0.4166062,H3
0.10942591,0.47513914,H3
0.17572364,0.4500088,H3
0.02679217,0.40822247,H3
0.19864023,0.50078636,H3
0.18791209,0.45749998,H3
0.0,0.45148224,H3
0.20742601,0.44329986,H3
0.19035925,0.38812456,H3
0.15116224,0.41021824,H3
0.22363639,0.5049948,H3
0.16050589,0.39328802,H3
0.06462834,0.49316195,H3
0.2024437,0.49215782,H3
0.011860966,0.47710037,H3
0.42704982,0.96412885,H3
0.45652202,0.9473825,H3
0.49147293,0.98301613,H3
0.4482993,0.9467921,H3
0.44034028,0.95053816,H3
0.5009286,0.9740794,H3
0.48169774,0.95894146,H3
0.44825667,0.9793844,H3
0.49438763,0.94468915,H3
0.42011157,0.98004377,H3
0.46092698,0.985047,H3
0.47012728,0.9760738,H3
0.50029075,0.96587104,H3
0.50238776,0.95337343,H3
0.42325908,0.95444727,H3
0.45847958,0.97392905,H3
0.4646538,0.065553434,H3
0.5559368,0.06695796,H3
0.49789917,0.080500394,H3
0.520911,0.08258979,H3
0.49431762,0.020844422,H3
0.5658428,0.06520294,H3
0.48917598,0.07467047,H3
0.5283905,0.019024676,H3
0.54058874,0.025518632,H3
0.47576135,0.0013839771,H3
0.53536385,0.084762424,H3
0.47383836,0.06973938,H3
0.49244738,0.03805281,H3
0.48819023,0.033549365,H3
0.5168704,0.09052595,H3
0.55360335,0.09925318,H3
0.9273601,0.47318187,H3
0.89890033,0.46289822,H3
0.9266052,0.49546367,H3
0.90036994,0.396905,H3
0.90850604,0.48211247,H3
0.88165355,0.4258991,H3
0.9285316,0.37991795,H3
0.927001,0.4156847,H3
0.46527267,0.009353591,H3
0.5570235,0.0564942,H3
0.5478552,0.09036027,H3
0.54483306,0.07418353,H3
0.4880578,0.06637929,H3
0.5566535,0.078564115,H3
0.47337767,0.060125116,H3
0.57652813,0.08005552,H3
0.91678137,0.4338159,H3
0.9726477,0.41579273,H3
0.90993047,0.38705716,H3
0.9785187,0.43697438,H3
0.9122395,0.4603836,H3
0.949864,0.44787142,H3
0.9164273,0.45418432,H3
0.8945958,0.4863893,H3
0.9641255,0.41899848,H3
0.9333007,0.44831532,H3
0.9241482,0.40779203,H3
0.9134564,0.47200137,H3
0.93218356,0.4240749,H3
0.9693553,0.4275611,H3
0.94634134,0.37444803,H3
0.9293771,0.39621437,H3
0.1722178,0.39764726,H3
0.036257368,0.39314747,H3
0.050229944,0.39692712,H3
0.10082968,0.41840774,H3
0.16014084,0.4511644,H3
0.110426106,0.39000046,H3
0.057374712,0.40479335,H3
0.18523403,0.5089531,H3
0.05019947,0.389466,H3
0.16907702,0.41051793,H3
0.09744959,0.39729223,H3
0.111758925,0.3963667,H3
0.012519454,0.39892146,H3
0.09601003,0.38821766,H3
0.12718223,0.40527874,H3
0.044967555,0.38159853,H3
0.48576778,1.0,H3
0.4998739,0.998141,H3
0.47573167,0.94799215,H3
0.42611545,0.9851339,H3
0.46968034,0.9396104,H3
0.43869603,0.96236104,H3
0.48384738,0.99288136,H3
0.4751316,0.99911237,H3
0.20877966,0.5042946,H3
0.09279428,0.41480452,H3
0.04316735,0.45270038,H3
0.02199259,0.39984912,H3
0.08672095,0.37928718,H3
0.18659785,0.37917206,H3
0.0307267,0.37575984,H3
0.149654,0.4501754,H3
0.89117175,0.39207423,H3
0.8942091,0.42094544,H3
0.87361926,0.4356131,H3
0.94071096,0.39995182,H3
0.89871776,0.40762663,H3
1.0,0.44119078,H3
0.9168976,0.42179954,H3
0.9962046,0.43662545,H3
0.30733132,0.8421978,H4
0.12904657,0.8808666,H4
0.12751304,0.86384785,H4
0.17431219,0.87976086,H4
0.38366246,0.8977609,H4
0.12162504,0.87581104,H4
0.4101834,0.880903,H4
0.4245033,0.87540984,H4
0.5926883,0.16639782,H4
0.5399382,0.16183731,H4
0.6324065,0.13347,H4
0.6022726,0.18853757,H4
0.6240494,0.15842028,H4
0.6068603,0.15319543,H4
0.6410868,0.13997792,H4
0.5891221,0.18401073,H4
0.5997281,0.17201294,H4
0.59264314,0.19118999,H4
0.50458694,0.044395622,H4
0.5971461,0.14004876,H4
0.5355212,0.15852419,H4
0.6162749,0.13673726,H4
0.6317023,0.1462221,H4
0.6089488,0.13795339,H4
0.3447434,0.89942867,H4
0.2828174,0.88851666,H4
0.27607238,0.87189686,H4
0.14352587,0.8334855,H4
0.38063496,0.80714685,H4
0.14893962,0.88118094,H4
0.3404542,0.8957082,H4
0.3387765,0.84328324,H4
0.9985132,0.8710189,H4
0.87523067,0.87529033,H4
0.86177826,0.86847126,H4
0.97808367,0.8436734,H4
0.9814553,0.8729492,H4
0.8687571,0.83588535,H4
0.9474776,0.74992967,H4
1.0,0.88067055,H4
0.33707413,0.82850593,H4
0.14025667,0.8224602,H4
0.19919552,0.86411995,H4
0.28792328,0.92120725,H4
0.32746273,0.83897984,H4
0.31719956,0.8183389,H4
0.20390531,0.87638384,H4
0.2409383,0.83744735,H4
0.34912708,0.8383803,H4
0.120882474,0.8281596,H4
0.15944387,0.797148,H4
0.19388811,0.87106454,H4
0.2845043,0.870023,H4
0.14682396,0.80340236,H4
0.3179455,0.8622151,H4
0.39214724,0.8433949,H4
0.115473166,0.8499538,H4
0.14484584,0.8147741,H4
0.38373876,0.8552073,H4
0.37336883,0.81617564,H4
0.17142834,0.8933937,H4
0.16465792,0.9149622,H4
0.30355927,0.8920552,H4
0.3778424,0.89277786,H4
0.17239521,0.81544673,H4
0.3862627,0.8263372,H4
0.16064519,0.8148669,H4
0.22505355,0.8810857,H4
0.36110434,0.820278,H4
0.35602117,0.81314754,H4
0.23141965,0.89128053,H4
0.13885409,0.8606602,H4
0.22843824,0.8706963,H4
0.13209838,0.81753904,H4
0.23260315,0.8444341,H4
0.40592575,0.8740261,H4
0.16797826,0.90199673,H4
0.36281198,0.89179474,H4
0.38685393,0.8442589,H4
0.13048883,0.84698856,H4
0.046697788,0.29747033,H4
0.039146803,0.2805184,H4
0.08321451,0.3148558,H4
0.02675636,0.29513392,H4
0.07310353,0.3112179,H4
0.06419569,0.32201147,H4
0.06661013,0.3378962,H4
0.006535589,0.32408696,H4
0.050263442,0.27854842,H4
0.018405346,0.29608363,H4
0.039053343,0.3055463,H4
0.04122461,0.35371715,H4
0.017842188,0.3625451,H4
0.06228863,0.34741372,H4
0.07763559,0.32790923,H4
0.057116657,0.3320493,H4
0.58569664,0.06915909,H4
0.5834439,0.090912014,H4
0.539141,0.09123973,H4
0.5064855,0.06323434,H4
0.50049204,0.03587984,H4
0.5038549,0.019399293,H4
0.56803995,0.118521675,H4
0.59491587,0.12422341,H4
0.5150635,0.021315401,H4
0.5930261,0.06300647,H4
0.51308435,0.045288254,H4
0.56476355,0.10576245,H4
0.56873274,0.09465089,H4
0.53833777,0.05658454,H4
0.5734818,0.10170106,H4
0.50601274,0.007947493,H4
0.9610219,0.8166141,H4
0.9740279,0.8381855,H4
0.8816189,0.86035275,H4
0.84231275,0.8529407,H4
0.8730266,0.8471577,H4
0.8774416,0.8377874,H4
0.98436,0.89290506,H4
0.97545177,0.8914225,H4
0.5358329,0.016482795,H4
0.52568835,0.06609273,H4
0.571913,0.075044565,H4
0.5257062,0.013208639,H4
0.50995153,0.0,H4
0.53469515,0.08371427,H4
0.52409935,0.069338806,H4
0.5876535,0.10319548,H4
0.9689452,0.9087522,H4
0.95711595,0.8075969,H4
0.8879242,0.84038895,H4
0.85813195,0.8158888,H4
0.8906718,0.81601703,H4
0.8969315,0.8107212,H4
0.9542407,0.8992484,H4
0.96509886,0.89431787,H4
0.9052253,0.7931061,H4
0.8978674,0.8361831,H4
0.97699624,0.9063755,H4
0.8547494,0.8552252,H4
0.9144949,0.8484755,H4
0.9579756,0.8901067,H4
0.9225533,0.81278056,H4
0.8484477,0.8461274,H4
0.2472556,0.9882603,H4
0.40234554,0.90093434,H4
0.21996395,0.9030249,H4
0.26924267,0.93364215,H4
0.22273868,0.8353694,H4
0.2631702,0.8844552,H4
0.1832966,0.97643286,H4
